,Product name,Product price
product_2,"Telefon mobil Apple iPhone 14, 128GB, 5G, Purple","4.199,99 Lei"
product_3,"Telefon mobil Apple iPhone 13, 128GB, 5G, Midnight","3.899,99 Lei"
product_4,"Telefon mobil Apple iPhone 14, 128GB, 5G, Blue","4.199,99 Lei"
product_5,"Telefon mobil Apple iPhone 13 mini, 128GB, 5G, Midnight","3.499,99 Lei"
product_6,"Telefon mobil Apple iPhone 14, 128GB, 5G, Starlight","4.199,99 Lei"
product_7,"Telefon mobil Apple iPhone 14, 128GB, 5G, Midnight","4.189,99 Lei"
product_8,"Telefon mobil Apple iPhone 13, 128GB, 5G, Pink","3.899,99 Lei"
product_9,"Telefon mobil Apple iPhone XS, 256GB, Silver","5.900,00 Lei"
product_10,"Telefon mobil Apple iPhone 14, 256GB, 5G, Midnight","4.699,99 Lei"
product_11,"Telefon mobil Apple iPhone SE 3, 64GB, 5G, Midnight","2.199,99 Lei"
product_12,"Telefon mobil Apple iPhone 13, 128GB, 5G, Blue","3.969,99 Lei"
product_13,"Telefon mobil Apple iPhone 13, 128GB, 5G, Starlight","3.999,99 Lei"
product_14,"Telefon mobil Apple iPhone 13 mini, 128GB, 5G, Starlight","3.499,99 Lei"
product_15,"Telefon mobil Apple iPhone 13 Pro Max, 128GB, 5G, Graphite","7.200,00 Lei"
product_16,"Telefon mobil Apple iPhone 13 Pro Max, 128GB, 5G, Alpine Green","7.200,00 Lei"
product_17,"Telefon mobil Apple iPhone 13, 128GB, 5G, Green","3.899,99 Lei"
product_18,"Telefon mobil Apple iPhone 14 Plus, 128GB, 5G, Midnight","4.799,99 Lei"
product_19,"Telefon mobil Apple iPhone 13 Pro, 128GB, 5G, Graphite","6.499,99 Lei"
product_20,"Telefon mobil Apple iPhone 13 mini, 128GB, 5G, Blue","3.499,99 Lei"
product_21,"Telefon mobil Apple iPhone 14, 128GB, 5G, RED","4.199,99 Lei"
product_22,"Telefon mobil Apple iPhone 13, 128GB, 5G, Red","3.899,99 Lei"
product_23,"Telefon mobil Apple iPhone 14, 256GB, 5G, Purple","4.799,99 Lei"
product_24,"Telefon mobil Apple iPhone 13, 256GB, 5G, Midnight","4.379,99 Lei"
product_25,"Telefon mobil Apple iPhone 13 Pro Max, 128GB, 5G, Sierra Blue","7.200,00 Lei"
product_26,"Telefon mobil Apple iPhone 13 mini, 128GB, 5G, Green","3.499,99 Lei"
product_27,"Telefon mobil Apple iPhone SE 3, 64GB, 5G, Starlight","2.238,79 Lei"
product_28,"Telefon mobil Apple iPhone XS Max, 256GB, Space Grey","4.899,00 Lei"
product_29,"Telefon mobil Apple iPhone 13 mini, 128GB, 5G, Pink","3.499,99 Lei"
product_30,"Telefon mobil Apple iPhone 13 Pro, 128GB, 5G, Sierra Blue","6.499,99 Lei"
product_31,"Telefon mobil Apple iPhone 13 Pro Max, 128GB, 5G, Gold","7.200,00 Lei"
product_32,"Telefon mobil Apple iPhone 14, 128GB, 5G, Yellow","4.199,99 Lei"
product_33,"Telefon mobil Apple iPhone 14 Plus, 128GB, 5G, Blue","4.899,99 Lei"
product_34,"Telefon mobil Apple iPhone 13 Pro Max, 1TB, 5G, Graphite","de la 15.012,21 Lei"
product_35,"Telefon mobil Apple iPhone 14 Plus, 512GB, 5G, Purple","5.639,99 Lei"
product_36,"Telefon mobil Apple iPhone 13 Pro, 128GB, 5G, Silver","6.499,99 Lei"
product_37,"Telefon mobil Apple iPhone 13 Pro, 128GB, 5G, Gold","6.499,99 Lei"
product_38,"Telefon mobil Apple iPhone 13 Pro Max, 128GB, 5G, Silver","7.200,00 Lei"
product_39,"Telefon mobil Apple iPhone 14 Plus, 128GB, 5G, Purple","4.899,99 Lei"
product_40,"Telefon mobil Apple iPhone 14, 256GB, 5G, Blue","4.749,99 Lei"
product_41,"Telefon mobil Apple iPhone 13, 256GB, 5G, Pink","4.950,00 Lei"
product_42,"Telefon mobil Apple iPhone 14, 256GB, 5G, Starlight","4.799,99 Lei"
product_43,"Telefon mobil Apple iPhone 13 Pro Max, 1TB, 5G, Sierra Blue","12.216,32 Lei"
product_44,"Telefon mobil Apple iPhone 13, 512GB, 5G, Midnight","5.300,00 Lei"
product_45,"Telefon mobil Apple iPhone 13, 256GB, 5G, Starlight","4.449,99 Lei"
product_46,"Telefon mobil Apple iPhone 13 Pro Max, 256GB, 5G, Graphite","7.700,00 Lei"
product_47,"Telefon mobil Apple iPhone 13 Pro, 1TB, 5G, Gold","6.999,99 Lei"
product_48,"Telefon mobil Apple iPhone 13, 512GB, 5G, Starlight","4.999,99 Lei"
product_49,"Telefon mobil Apple iPhone SE 3, 128GB, 5G, Midnight","2.999,99 Lei"
product_50,"Telefon mobil Apple iPhone 14, 512GB, 5G, Midnight","5.499,99 Lei"
product_51,"Telefon mobil Apple iPhone 13, 256GB, 5G, Red","4.499,99 Lei"
product_52,"Telefon mobil Apple iPhone 13, 512GB, 5G, Red","4.999,99 Lei"
product_53,"Telefon mobil Apple iPhone 14 Plus, 512GB, 5G, Midnight","6.000,00 Lei"
product_54,"Telefon mobil Apple iPhone 13, 256GB, 5G, Blue","4.399,99 Lei"
product_55,"Telefon mobil Apple iPhone 13 Pro Max, 512GB, 5G, Silver","7.900,01 Lei"
product_56,"Telefon mobil Apple iPhone 13 Pro Max, 256GB, 5G, Sierra Blue","7.650,00 Lei"
product_57,"Telefon mobil Apple iPhone 13 Pro, 256GB, 5G, Sierra Blue","7.000,00 Lei"
product_58,"Telefon mobil Apple iPhone 14 Plus, 128GB, 5G, Starlight","4.899,99 Lei"
product_59,"Telefon mobil Apple iPhone 13 Pro, 256GB, 5G, Gold","7.000,00 Lei"
product_60,"Telefon mobil Apple iPhone 13 Pro Max, 1TB, 5G, Alpine Green","7.699,00 Lei"
product_61,"Telefon mobil Apple iPhone 13 Pro Max, 512GB, 5G, Graphite","8.250,00 Lei"
