Data,AUD,BGN,CAD,CHF,CZK,DKK,EGP,EUR,GBP,100 HUF,100 JPY,MDL,NOK,PLN,RUB,SEK,TRY,USD,ZAR,BRL,CNY,INR,100 KRW,MXN,NZD,RSD,UAH,AED,HRK,THB,XAU,XDR
10.10.2023,3.0043,2.5388,3.4451,5.1782,0.2026,0.6659,0.1515,4.9656,5.7459,1.2808,3.1443,0.2584,0.4327,1.0883,0.0471,0.43,0.169,4.681,0.2448,0.9113,0.6415,0.0562,0.3475,0.2573,2.8191,0.0424,0.1283,1.2744,,0.1274,279.7834,6.1551
09.10.2023,3.0014,2.5402,3.4534,5.1787,0.2033,0.6663,0.1526,4.9682,5.7469,1.2802,3.1638,0.2583,0.4329,1.0855,0.0468,0.4282,0.1701,4.7168,0.2436,0.9164,0.6474,0.0566,0.3493,0.258,2.8184,0.0424,0.129,1.2842,,0.1272,280.6711,6.186
06.10.2023,2.9912,2.5376,3.4291,5.153,0.203,0.6655,0.1527,4.9631,5.739,1.2829,3.1557,0.2587,0.4288,1.079,0.0468,0.4277,0.1708,4.7028,0.2426,0.9102,0.6441,0.0565,0.3491,0.2585,2.8036,0.0424,0.1285,1.2804,,0.1271,275.2816,6.1706
05.10.2023,2.9961,2.5411,3.4327,5.1559,0.2038,0.6665,0.1535,4.97,5.7344,1.2826,3.1763,0.2596,0.429,1.0816,0.0473,0.4283,0.171,4.7293,0.2424,0.9173,0.6477,0.0568,0.3497,0.2618,2.8045,0.0424,0.1291,1.2875,,0.128,277.1256,6.1949
04.10.2023,2.9983,2.5438,3.4605,5.157,0.2038,0.667,0.1539,4.9752,5.75,1.2805,3.1784,0.2607,0.4333,1.0737,0.0476,0.4284,0.1719,4.7387,0.2461,0.917,0.649,0.0569,0.3498,0.2631,2.7976,0.0424,0.1294,1.2902,,0.1278,277.7786,6.2054
03.10.2023,2.9934,2.5434,3.4556,5.1499,0.2033,0.667,0.1535,4.9745,5.7323,1.286,3.1651,0.2589,0.4363,1.0761,0.0476,0.429,0.1725,4.743,0.2461,0.9367,0.6496,0.057,0.3487,0.2689,2.7982,0.0424,0.1296,1.2913,,0.128,278.5272,6.205
02.10.2023,3.0182,2.5433,3.4671,5.1701,0.2036,0.6669,0.1526,4.9744,5.7415,1.2848,3.1518,0.2569,0.44,1.079,0.0479,0.4295,0.172,4.7191,0.2477,0.9377,0.6463,0.0567,0.3482,0.2703,2.8175,0.0425,0.1278,1.2848,,0.1277,278.1602,6.1864
29.09.2023,3.0414,2.5434,3.4896,5.1446,0.2041,0.6671,0.1517,4.9746,5.7433,1.2709,3.1424,0.26,0.4418,1.0726,0.0481,0.4329,0.1707,4.6864,0.2497,0.931,0.6418,0.0564,0.3485,0.2691,2.8303,0.0425,0.1269,1.2759,,0.1286,282.2442,6.1616
28.09.2023,3.0157,2.5436,3.5009,5.1471,0.204,0.6673,0.1528,4.9749,5.7597,1.263,3.164,0.2597,0.4407,1.0744,0.0486,0.429,0.1717,4.7214,0.246,0.936,0.6462,0.0568,0.3483,0.2672,2.8103,0.0424,0.1278,1.2854,,0.1284,284.8747,6.191
27.09.2023,3.0033,2.5433,3.4804,5.1393,0.2034,0.6672,0.1525,4.9743,5.7209,1.2777,3.1578,0.2584,0.4365,1.0777,0.0488,0.428,0.1727,4.7112,0.2459,0.9446,0.6442,0.0566,0.3485,0.2688,2.7954,0.0424,0.1275,1.2826,,0.1289,287.0737,6.1787
